datetime,code,open,close,high,low,vol,amount,tor,vr,ma5,ma10,ma20
2017-12-27,601818,4.08,4.07,4.11,4.06,811377.0,331116000.0,0.2,1.25,4.07,4.08,4.13
2017-12-26,601818,4.05,4.09,4.1,4.05,726449.0,296116288.0,0.18,1.21,4.07,4.08,4.13
2017-12-25,601818,4.06,4.06,4.1,4.05,641604.0,261248208.0,0.16,1.11,4.07,4.09,4.13
2017-12-22,601818,4.07,4.06,4.08,4.06,400550.0,163054736.0,0.1,0.6,4.07,4.1,4.14
2017-12-21,601818,4.07,4.08,4.1,4.05,728139.0,297002144.0,0.18,1.13,4.07,4.11,4.15
2017-12-20,601818,4.09,4.08,4.09,4.05,751775.0,305984576.0,0.19,1.13,4.08,4.12,4.15
2017-12-19,601818,4.06,4.09,4.1,4.06,475832.0,194011120.0,0.12,0.62,4.09,4.13,4.16
2017-12-18,601818,4.07,4.05,4.08,4.05,521627.0,211953888.0,0.13,0.61,4.1,4.15,4.16
2017-12-15,601818,4.12,4.06,4.13,4.06,868624.0,354764704.0,0.22,1.04,4.12,4.16,4.16
2017-12-14,601818,4.15,4.12,4.16,4.11,595693.0,246007776.0,0.15,0.64,4.15,4.17,4.16
2017-12-13,601818,4.12,4.15,4.16,4.11,871026.0,359894944.0,0.22,0.87,4.16,4.18,4.16
2017-12-12,601818,4.16,4.12,4.18,4.12,983578.0,408154528.0,0.25,0.68,4.17,4.18,4.15
2017-12-11,601818,4.16,4.17,4.17,4.13,940400.0,390003456.0,0.24,0.64,4.2,4.18,4.15
2017-12-08,601818,4.2,4.17,4.2,4.16,792654.0,330768672.0,0.2,0.5,4.2,4.18,4.14
2017-12-07,601818,4.2,4.2,4.22,4.16,1031641.0,431820224.0,0.26,0.58,4.2,4.18,4.13
2017-12-06,601818,4.25,4.21,4.25,4.2,1257998.0,531263552.0,0.32,0.73,4.2,4.18,4.12
2017-12-05,601818,4.18,4.25,4.28,4.16,3224597.0,1365357056.0,0.81,2.56,4.18,4.18,4.12
2017-12-04,601818,4.17,4.18,4.19,4.14,1017434.0,423606208.0,0.26,0.72,4.16,4.17,4.11
2017-12-01,601818,4.18,4.18,4.2,4.13,1349522.0,561738240.0,0.34,0.92,4.16,4.16,4.1
2017-11-30,601818,4.12,4.18,4.24,4.12,1997057.0,834703360.0,0.5,1.29,4.16,4.15,4.09
2017-11-29,601818,4.14,4.13,4.15,4.1,999013.0,412090624.0,0.25,0.51,4.16,4.14,4.08
2017-11-28,601818,4.17,4.14,4.18,4.13,924509.0,383067264.0,0.23,0.42,4.18,4.13,4.08
2017-11-27,601818,4.17,4.18,4.19,4.13,1821800.0,757750656.0,0.46,0.84,4.18,4.11,4.07
2017-11-24,601818,4.16,4.18,4.21,4.15,1594998.0,665949824.0,0.4,0.66,4.16,4.1,4.07
2017-11-23,601818,4.21,4.18,4.26,4.14,2407213.0,1012849856.0,0.6,1.15,4.14,4.08,4.06
2017-11-22,601818,4.13,4.23,4.24,4.12,3036735.0,1271920896.0,0.76,1.86,4.11,4.07,4.05
2017-11-21,601818,4.1,4.11,4.18,4.1,2269368.0,938385536.0,0.57,1.64,4.07,4.05,4.05
2017-11-20,601818,4.06,4.11,4.12,4.05,1521078.0,620614016.0,0.38,1.04,4.05,4.04,4.04
2017-11-17,601818,4.0,4.09,4.1,4.0,2820462.0,1142862208.0,0.71,2.33,4.04,4.03,4.04
2017-11-16,601818,4.02,4.01,4.02,4.0,798729.0,320396992.0,0.2,0.65,4.02,4.03,4.04
2017-11-15,601818,4.03,4.02,4.04,4.01,753447.0,303173888.0,0.19,0.59,4.03,4.03,4.05
2017-11-14,601818,4.05,4.03,4.05,4.01,1011524.0,408124928.0,0.25,0.76,4.03,4.03,4.05
2017-11-13,601818,4.0,4.06,4.07,4.0,1932081.0,781338688.0,0.49,1.81,4.04,4.03,4.06
2017-11-10,601818,4.02,4.0,4.04,3.99,1563747.0,626548608.0,0.39,1.53,4.02,4.03,4.06
2017-11-09,601818,4.05,4.02,4.05,4.01,901072.0,363061184.0,0.23,0.83,4.03,4.04,4.07
2017-11-08,601818,4.05,4.05,4.07,4.03,972863.0,394562624.0,0.24,0.91,4.03,4.04,4.07
